feature,history_window_hours,mean_abs_future_correlation,horizon_1_corr,horizon_24_corr
weather_temperature_zentralgate_c,24.0,0.45935897762025,0.44045775959714656,0.4691536784352164
weather_temperature_zentralgate_c,25.0,0.46452756560067526,0.4462160939771026,0.47578102471852596
weather_temperature_zentralgate_c,26.0,0.46955511494942326,0.451682214510811,0.4824868762468316
weather_temperature_zentralgate_c,27.0,0.4744590727429971,0.4568569651219125,0.4889818851565645
weather_temperature_zentralgate_c,28.0,0.4792582232078176,0.4619137865294988,0.495296082783021
weather_temperature_zentralgate_c,29.0,0.48395754602345714,0.46694555071566385,0.5012893760682753
weather_temperature_zentralgate_c,30.0,0.48854803459322843,0.4716605706734802,0.5067381049677788
weather_temperature_zentralgate_c,31.0,0.49302833352674424,0.4761763620794108,0.5115568623288793
weather_temperature_zentralgate_c,32.0,0.4973942835730119,0.48040406769958055,0.51581160366113
weather_temperature_zentralgate_c,33.0,0.5016528853496999,0.48453989143955833,0.5197158920272951
weather_temperature_zentralgate_c,34.0,0.5058054815368547,0.488427170366215,0.5233710048727312
weather_temperature_zentralgate_c,35.0,0.5098607838182879,0.49216211825806855,0.526836912413674
weather_temperature_zentralgate_c,36.0,0.5138273126500555,0.49567670163710903,0.5302384656033625
weather_temperature_zentralgate_c,37.0,0.5177110787719515,0.4990565141369499,0.5334674937978363
weather_temperature_zentralgate_c,38.0,0.5215182262045749,0.5021126451848563,0.5366259221811321
weather_temperature_zentralgate_c,39.0,0.5252576118177462,0.5052975171961244,0.5396022443924702
weather_temperature_zentralgate_c,40.0,0.5289174417270579,0.5083620962548474,0.5423797095630012
weather_temperature_zentralgate_c,41.0,0.5324917237058906,0.5114036091837173,0.5448731726928935
weather_temperature_zentralgate_c,42.0,0.5359660595838154,0.5143537101710414,0.5469813940619244
weather_temperature_zentralgate_c,43.0,0.5393329114891712,0.5174567419013765,0.5487823564341573
weather_temperature_zentralgate_c,44.0,0.5425680094110157,0.520782960214754,0.5501136253628618
weather_temperature_zentralgate_c,45.0,0.5456524965863725,0.5242156523956658,0.5511877615024846
weather_temperature_zentralgate_c,46.0,0.5487664808128306,0.5280155530373698,0.5521181099852488
weather_temperature_zentralgate_c,47.0,0.5517122601568986,0.532067297761083,0.5528129509524271
weather_temperature_zentralgate_c,48.0,0.5544698071038174,0.5362666892770132,0.5532587964282568
weather_temperature_zentralgate_c,49.0,0.5570218350947139,0.5405621166752229,0.5535416951847412
weather_temperature_zentralgate_c,50.0,0.5593568972357637,0.54478888761628,0.5536584330569495
weather_temperature_zentralgate_c,51.0,0.561468658593734,0.5489681509200092,0.5535208584927428
weather_temperature_zentralgate_c,52.0,0.5633661569922741,0.5529817531575026,0.5534836827240767
weather_temperature_zentralgate_c,53.0,0.5650598981508828,0.5566869880904322,0.5534657110359137
weather_temperature_zentralgate_c,54.0,0.5665673769685693,0.560033749442181,0.5534666678789307
weather_temperature_zentralgate_c,55.0,0.5679066141826,0.5630121477315579,0.5534520987809981
weather_temperature_zentralgate_c,56.0,0.5690949657117419,0.5657872933910126,0.5534333701144953
weather_temperature_zentralgate_c,57.0,0.5701426022041991,0.5683954814267644,0.5534379252483889
weather_temperature_zentralgate_c,58.0,0.5710589017901375,0.5708676842025953,0.5534674984263043
weather_temperature_zentralgate_c,59.0,0.5718526120696485,0.5732472539127627,0.553543626815466
weather_temperature_zentralgate_c,60.0,0.572530293337254,0.5755222522717361,0.5536730475360698
weather_temperature_zentralgate_c,61.0,0.5730954718072542,0.5777400172720999,0.5537712412173111
weather_temperature_zentralgate_c,62.0,0.5735523736217832,0.5798382502005616,0.5538925902280906
weather_temperature_zentralgate_c,63.0,0.5739080582594137,0.5817978977376604,0.5540216922040425
weather_temperature_zentralgate_c,64.0,0.5741690584941813,0.5835470778159331,0.5541248472399882
weather_temperature_zentralgate_c,65.0,0.5743449533259037,0.5850286460161981,0.5541974956654808
weather_temperature_zentralgate_c,66.0,0.5744473772016268,0.5862827075155593,0.5542340625982866
weather_temperature_zentralgate_c,67.0,0.5744907061474939,0.5871991768805405,0.5543382618530647
weather_temperature_zentralgate_c,68.0,0.5744902363090797,0.5879398690668192,0.5544113530825214
weather_temperature_zentralgate_c,69.0,0.5744551568476974,0.5884470777128437,0.5544878080428189
weather_temperature_zentralgate_c,70.0,0.5743986521372788,0.5887771001045625,0.5546329474499938
weather_temperature_zentralgate_c,71.0,0.5743312644187223,0.5889115669916462,0.5548720075834729
weather_temperature_zentralgate_c,72.0,0.5742635017788245,0.588923787539454,0.5551837837562007
weather_wind_direction_mean_consistency,1.0,0.061448442582499076,-0.04480318659277183,-0.07393648085823534
weather_wind_direction_mean_consistency,2.0,0.06529103247101468,-0.0476421585163053,-0.07884441435085432
